Time[ms],#Mission,TargetDepth[m],PistonPosition[m],PIDoutput,Pressure[V],MeasuredDepth[m],Psi,Pascal,Battery[V],Temperature,MotionData
109432.00,1,1.500000,0.029673,0.007460,0.590852,1.667189,17.071298,117702.507812,23.100557,-183.914062,0.000000
110430.00,1,1.500000,0.027655,0.015359,0.592225,1.691327,17.105630,117939.218750,23.009731,-183.914062,0.000000
111429.00,1,1.500000,0.025214,0.022668,0.594423,1.729950,17.160566,118317.984375,23.009731,-185.914062,0.000000
112428.00,1,1.500000,0.022772,0.000000,0.596620,1.768572,17.215499,118696.742187,23.012660,-185.914062,0.000000
113427.00,1,1.500000,0.020331,0.023018,0.597993,1.792712,17.249834,118933.468750,23.031705,-185.914062,0.000000
114426.00,1,1.500000,0.022349,0.014256,0.597719,1.787884,17.242967,118886.125000,23.075653,-187.914062,0.000000
115425.00,1,1.500000,0.021982,0.020715,0.596895,1.773400,17.222366,118744.085937,23.071258,-187.914062,0.000000
116424.00,1,1.500000,0.021624,0.024597,0.595521,1.749262,17.188034,118507.367187,23.077117,-189.914062,0.000000
117423.00,1,1.500000,0.024065,0.018811,0.595247,1.744434,17.181167,118460.023437,23.063934,-187.914062,0.000000
118422.00,1,1.500000,0.023708,0.010254,0.594697,1.734778,17.167432,118365.328125,23.082977,-189.914062,0.000000
119421.00,1,1.500000,0.023340,0.055000,0.591401,1.676844,17.085031,117797.195312,23.072723,-189.914062,0.000000
120420.00,1,1.500000,0.025782,0.037972,0.588929,1.633392,17.023227,117371.070312,23.052213,-189.914062,0.000000
121419.00,1,1.500000,0.028223,0.042461,0.586732,1.594770,16.968294,116992.312500,23.066864,-189.914062,0.000000
122418.00,1,1.500000,0.030665,0.028583,0.585358,1.570630,16.933959,116755.585937,23.055143,-191.914062,0.000000
123417.00,1,1.500000,0.030296,0.039989,0.581788,1.507867,16.844690,116140.093750,23.074188,-191.914062,0.000000
124416.00,1,1.500000,0.032738,0.034443,0.581238,1.498211,16.830955,116045.398437,23.047819,-191.914062,0.000000
125415.00,1,1.500000,0.035179,0.050824,0.579041,1.459587,16.776020,115666.632812,23.044889,-191.914062,0.000000
126414.00,1,1.500000,0.036132,0.035224,0.580140,1.478899,16.803487,115856.015625,23.052213,-193.914062,0.000000
127413.00,1,1.500000,0.035419,0.016657,0.581238,1.498211,16.830955,116045.398437,23.506343,-193.914062,0.000000
128412.00,1,1.500000,0.034769,0.032458,0.579865,1.474071,16.796621,115808.671875,23.071258,-193.914062,0.000000
129411.00,1,1.500000,0.032750,0.013116,0.582062,1.512696,16.851558,116187.453125,23.012660,-193.914062,0.000000
130410.00,1,1.500000,0.031970,0.015500,0.582886,1.527179,16.872158,116329.476562,23.071258,-195.914062,0.000000
131408.00,1,1.500000,0.029950,0.026390,0.584260,1.551319,16.906492,116566.203125,23.002407,-195.914062,0.000000
